outer_fold,selector,position,feature,feature_count
2,CS_SHAP_Union,14,tcp.seq,18
2,CS_SHAP_Union,15,tcp.srcport,18
2,CS_SHAP_Union,16,udp.port,18
2,CS_SHAP_Union,17,udp.stream,18
2,CS_SHAP_Union,18,udp.time_delta,18
2,Mutual_Information_19,1,tcp.dstport,19
2,Mutual_Information_19,2,tcp.srcport,19
2,Mutual_Information_19,3,tcp.ack,19
2,Mutual_Information_19,4,tcp.seq,19
2,Mutual_Information_19,5,tcp.ack_raw,19
2,Mutual_Information_19,6,tcp.flags,19
2,Mutual_Information_19,7,http.request.version,19
2,Mutual_Information_19,8,http.request.method,19
2,Mutual_Information_19,9,tcp.len,19
2,Mutual_Information_19,10,http.referer,19
2,Mutual_Information_19,11,tcp.checksum,19
2,Mutual_Information_19,12,mqtt.topic,19
2,Mutual_Information_19,13,mqtt.conack.flags,19
2,Mutual_Information_19,14,mqtt.protoname,19
2,Mutual_Information_19,15,icmp.checksum,19
2,Mutual_Information_19,16,udp.stream,19
2,Mutual_Information_19,17,tcp.flags.ack,19
2,Mutual_Information_19,18,icmp.seq_le,19
2,Mutual_Information_19,19,http.content_length,19
2,Random_Forest_Importance_19,1,tcp.srcport,19
2,Random_Forest_Importance_19,2,tcp.ack,19
2,Random_Forest_Importance_19,3,tcp.dstport,19
2,Random_Forest_Importance_19,4,http.referer,19
2,Random_Forest_Importance_19,5,tcp.len,19
2,Random_Forest_Importance_19,6,tcp.seq,19
2,Random_Forest_Importance_19,7,icmp.seq_le,19
2,Random_Forest_Importance_19,8,http.request.version,19
2,Random_Forest_Importance_19,9,udp.stream,19
2,Random_Forest_Importance_19,10,tcp.ack_raw,19
2,Random_Forest_Importance_19,11,http.request.method,19
2,Random_Forest_Importance_19,12,tcp.flags,19
2,Random_Forest_Importance_19,13,tcp.checksum,19
2,Random_Forest_Importance_19,14,mqtt.protoname,19
2,Random_Forest_Importance_19,15,mqtt.topic,19
2,Random_Forest_Importance_19,16,icmp.checksum,19
2,Random_Forest_Importance_19,17,mqtt.conack.flags,19
2,Random_Forest_Importance_19,18,udp.time_delta,19
2,Random_Forest_Importance_19,19,udp.port,19
3,Full_42,1,arp.opcode,42
3,Full_42,2,arp.hw.size,42
3,Full_42,3,icmp.checksum,42
3,Full_42,4,icmp.seq_le,42
3,Full_42,5,icmp.transmit_timestamp,42
3,Full_42,6,http.content_length,42
3,Full_42,7,http.request.method,42
3,Full_42,8,http.referer,42
3,Full_42,9,http.request.version,42
3,Full_42,10,http.response,42
3,Full_42,11,tcp.ack,42
3,Full_42,12,tcp.ack_raw,42
3,Full_42,13,tcp.checksum,42
3,Full_42,14,tcp.connection.fin,42
3,Full_42,15,tcp.connection.rst,42
3,Full_42,16,tcp.connection.syn,42
3,Full_42,17,tcp.connection.synack,42
3,Full_42,18,tcp.dstport,42
3,Full_42,19,tcp.flags,42
3,Full_42,20,tcp.flags.ack,42
3,Full_42,21,tcp.len,42
3,Full_42,22,tcp.seq,42
3,Full_42,23,tcp.srcport,42
3,Full_42,24,udp.port,42
3,Full_42,25,udp.stream,42
3,Full_42,26,udp.time_delta,42
3,Full_42,27,dns.qry.name,42
3,Full_42,28,dns.qry.name.len,42
3,Full_42,29,dns.qry.qu,42
3,Full_42,30,dns.retransmission,42
3,Full_42,31,dns.retransmit_request,42
3,Full_42,32,mqtt.conack.flags,42
3,Full_42,33,mqtt.conflag.cleansess,42
3,Full_42,34,mqtt.conflags,42
3,Full_42,35,mqtt.hdrflags,42
3,Full_42,36,mqtt.len,42
3,Full_42,37,mqtt.msgtype,42
3,Full_42,38,mqtt.proto_len,42
3,Full_42,39,mqtt.protoname,42
3,Full_42,40,mqtt.topic,42
3,Full_42,41,mqtt.topic_len,42
3,Full_42,42,mqtt.ver,42
3,Natural_Global_20,1,http.referer,20
3,Natural_Global_20,2,tcp.srcport,20
3,Natural_Global_20,3,http.request.method,20
3,Natural_Global_20,4,http.request.version,20
3,Natural_Global_20,5,tcp.dstport,20
3,Natural_Global_20,6,tcp.ack,20
3,Natural_Global_20,7,mqtt.conack.flags,20
3,Natural_Global_20,8,icmp.checksum,20
3,Natural_Global_20,9,udp.stream,20
3,Natural_Global_20,10,icmp.seq_le,20
3,Natural_Global_20,11,tcp.flags,20
3,Natural_Global_20,12,tcp.ack_raw,20
3,Natural_Global_20,13,tcp.seq,20
3,Natural_Global_20,14,tcp.len,20
3,Natural_Global_20,15,tcp.checksum,20
3,Natural_Global_20,16,mqtt.protoname,20
3,Natural_Global_20,17,tcp.connection.rst,20
3,Natural_Global_20,18,tcp.connection.syn,20
3,Natural_Global_20,19,arp.opcode,20
3,Natural_Global_20,20,dns.qry.name,20
3,Class_Balanced_15,1,tcp.ack,15
3,Class_Balanced_15,2,tcp.srcport,15
3,Class_Balanced_15,3,tcp.dstport,15
3,Class_Balanced_15,4,http.referer,15
3,Class_Balanced_15,5,tcp.len,15
3,Class_Balanced_15,6,udp.stream,15
3,Class_Balanced_15,7,mqtt.conack.flags,15
3,Class_Balanced_15,8,http.request.method,15
3,Class_Balanced_15,9,icmp.seq_le,15
3,Class_Balanced_15,10,http.request.version,15
3,Class_Balanced_15,11,tcp.seq,15
3,Class_Balanced_15,12,icmp.checksum,15
3,Class_Balanced_15,13,tcp.ack_raw,15
3,Class_Balanced_15,14,tcp.flags,15
3,Class_Balanced_15,15,tcp.connection.rst,15
3,Stable_Balanced_Core,1,http.referer,15
3,Stable_Balanced_Core,2,http.request.method,15
3,Stable_Balanced_Core,3,http.request.version,15
3,Stable_Balanced_Core,4,icmp.checksum,15
3,Stable_Balanced_Core,5,icmp.seq_le,15
3,Stable_Balanced_Core,6,mqtt.conack.flags,15
3,Stable_Balanced_Core,7,tcp.ack,15
3,Stable_Balanced_Core,8,tcp.ack_raw,15
3,Stable_Balanced_Core,9,tcp.connection.rst,15
3,Stable_Balanced_Core,10,tcp.dstport,15
3,Stable_Balanced_Core,11,tcp.flags,15
3,Stable_Balanced_Core,12,tcp.len,15
3,Stable_Balanced_Core,13,tcp.seq,15
3,Stable_Balanced_Core,14,tcp.srcport,15
3,Stable_Balanced_Core,15,udp.stream,15
