selector,rank,feature,importance,outer_fold
Random_Forest_Importance_19,36,mqtt.conflag.cleansess,0.0002076359343933823,2
Random_Forest_Importance_19,37,mqtt.ver,0.00020676264177041774,2
Random_Forest_Importance_19,38,mqtt.conflags,0.00017542034152952192,2
Random_Forest_Importance_19,39,mqtt.topic_len,0.00014947601324123087,2
Random_Forest_Importance_19,40,mqtt.proto_len,0.00013842962664916683,2
Random_Forest_Importance_19,41,dns.retransmission,1.2001213372802943e-05,2
Random_Forest_Importance_19,42,dns.retransmit_request,4.4840287225819476e-07,2
Mutual_Information_19,1,tcp.dstport,1.413458452423991,3
Mutual_Information_19,2,tcp.srcport,1.3785944568727637,3
Mutual_Information_19,3,tcp.ack,1.3256331651861735,3
Mutual_Information_19,4,tcp.seq,1.0337791763202744,3
Mutual_Information_19,5,tcp.ack_raw,0.9831457650602702,3
Mutual_Information_19,6,tcp.flags,0.8023776297094205,3
Mutual_Information_19,7,http.request.version,0.7181755039786841,3
Mutual_Information_19,8,http.request.method,0.7111658065351514,3
Mutual_Information_19,9,tcp.len,0.6856515170962538,3
Mutual_Information_19,10,http.referer,0.4948540380059301,3
Mutual_Information_19,11,tcp.checksum,0.44027316191785104,3
Mutual_Information_19,12,mqtt.protoname,0.4332891738563367,3
Mutual_Information_19,13,mqtt.topic,0.4332519335292746,3
Mutual_Information_19,14,mqtt.conack.flags,0.4291885041568717,3
Mutual_Information_19,15,icmp.checksum,0.3097051622713751,3
Mutual_Information_19,16,udp.stream,0.3075273592773047,3
Mutual_Information_19,17,tcp.flags.ack,0.3050722856374204,3
Mutual_Information_19,18,icmp.seq_le,0.30001667311646063,3
Mutual_Information_19,19,http.content_length,0.1831617707086295,3
Mutual_Information_19,20,tcp.connection.syn,0.10559260828111583,3
Mutual_Information_19,21,tcp.connection.rst,0.09077000477638064,3
Mutual_Information_19,22,http.response,0.07474707623250199,3
Mutual_Information_19,23,mqtt.msgtype,0.06425016984603626,3
Mutual_Information_19,24,mqtt.hdrflags,0.060307329200903315,3
Mutual_Information_19,25,tcp.connection.fin,0.04661439981078308,3
Mutual_Information_19,26,mqtt.len,0.04135072724366706,3
Mutual_Information_19,27,dns.qry.name,0.028143974195676602,3
Mutual_Information_19,28,tcp.connection.synack,0.022475417712167545,3
Mutual_Information_19,29,mqtt.conflag.cleansess,0.019458718276876397,3
Mutual_Information_19,30,udp.time_delta,0.01902998388624244,3
Mutual_Information_19,31,arp.opcode,0.01583868583473702,3
Mutual_Information_19,32,udp.port,0.01581620732209288,3
Mutual_Information_19,33,mqtt.topic_len,0.015140806802634632,3
Mutual_Information_19,34,arp.hw.size,0.014996618511781357,3
Mutual_Information_19,35,mqtt.ver,0.013410380103004993,3
Mutual_Information_19,36,mqtt.proto_len,0.013086546656110087,3
Mutual_Information_19,37,mqtt.conflags,0.011975908102233479,3
Mutual_Information_19,38,dns.qry.qu,0.009552458121181662,3
Mutual_Information_19,39,dns.qry.name.len,0.009346964890725395,3
Mutual_Information_19,40,dns.retransmit_request,0.003200716136995574,3
Mutual_Information_19,41,icmp.transmit_timestamp,0.0026805363679294203,3
Mutual_Information_19,42,dns.retransmission,0.0,3
Random_Forest_Importance_19,1,tcp.srcport,0.11567680550564247,3
Random_Forest_Importance_19,2,tcp.ack,0.1090101263453621,3
Random_Forest_Importance_19,3,tcp.dstport,0.09892352556081752,3
Random_Forest_Importance_19,4,http.referer,0.07466546206459632,3
Random_Forest_Importance_19,5,tcp.len,0.07275228388521038,3
Random_Forest_Importance_19,6,tcp.seq,0.06153630288579989,3
Random_Forest_Importance_19,7,icmp.seq_le,0.05773216291840438,3
Random_Forest_Importance_19,8,http.request.version,0.04917662379981063,3
Random_Forest_Importance_19,9,udp.stream,0.04731380156286117,3
Random_Forest_Importance_19,10,http.request.method,0.03650559885947624,3
Random_Forest_Importance_19,11,tcp.ack_raw,0.03565778791596863,3
Random_Forest_Importance_19,12,tcp.flags,0.032256130253378514,3
Random_Forest_Importance_19,13,mqtt.topic,0.026251008547318808,3
Random_Forest_Importance_19,14,tcp.checksum,0.024874190766140475,3
Random_Forest_Importance_19,15,icmp.checksum,0.024283690839085197,3
Random_Forest_Importance_19,16,mqtt.protoname,0.023518487511550886,3
Random_Forest_Importance_19,17,mqtt.conack.flags,0.017521946167080842,3
Random_Forest_Importance_19,18,udp.port,0.016879138389270677,3
Random_Forest_Importance_19,19,http.content_length,0.01412261010317786,3
Random_Forest_Importance_19,20,udp.time_delta,0.012530128911545086,3
Random_Forest_Importance_19,21,tcp.connection.rst,0.012415601561759828,3
Random_Forest_Importance_19,22,tcp.flags.ack,0.008583640516775402,3
Random_Forest_Importance_19,23,tcp.connection.syn,0.007657008347172324,3
Random_Forest_Importance_19,24,http.response,0.004264778743544588,3
Random_Forest_Importance_19,25,dns.qry.name,0.002054911695301502,3
Random_Forest_Importance_19,26,arp.opcode,0.002032857568405134,3
Random_Forest_Importance_19,27,arp.hw.size,0.0017290087836326345,3
Random_Forest_Importance_19,28,dns.qry.name.len,0.001719850051471918,3
Random_Forest_Importance_19,29,tcp.connection.fin,0.0015045351467081842,3
Random_Forest_Importance_19,30,icmp.transmit_timestamp,0.0014980376512535116,3
Random_Forest_Importance_19,31,tcp.connection.synack,0.0013231328686001014,3
Random_Forest_Importance_19,32,dns.qry.qu,0.0011777715774803487,3
Random_Forest_Importance_19,33,mqtt.hdrflags,0.0007914905629413863,3
Random_Forest_Importance_19,34,mqtt.msgtype,0.000704334127032669,3
Random_Forest_Importance_19,35,mqtt.len,0.00048824887116277705,3
Random_Forest_Importance_19,36,mqtt.topic_len,0.0002854154674671904,3
Random_Forest_Importance_19,37,mqtt.conflag.cleansess,0.00017053646752741315,3
Random_Forest_Importance_19,38,mqtt.conflags,0.00016570502826855114,3
Random_Forest_Importance_19,39,mqtt.ver,0.00012081525003253544,3
Random_Forest_Importance_19,40,mqtt.proto_len,0.0001160930045431221,3
Random_Forest_Importance_19,41,dns.retransmission,8.053199075117862e-06,3
Random_Forest_Importance_19,42,dns.retransmit_request,3.6071734554463485e-07,3
Mutual_Information_19,1,tcp.dstport,1.4137773527464104,4
Mutual_Information_19,2,tcp.srcport,1.3675443089297952,4
Mutual_Information_19,3,tcp.ack,1.3295436960518554,4
Mutual_Information_19,4,tcp.seq,1.0298661908740732,4
Mutual_Information_19,5,tcp.ack_raw,0.9842722573064857,4
Mutual_Information_19,6,tcp.flags,0.803079895775558,4
Mutual_Information_19,7,http.request.version,0.7135656539223056,4
Mutual_Information_19,8,http.request.method,0.7080665024907886,4
Mutual_Information_19,9,tcp.len,0.6805174856128509,4
Mutual_Information_19,10,http.referer,0.4980038840512844,4
Mutual_Information_19,11,tcp.checksum,0.44137290029458587,4
Mutual_Information_19,12,mqtt.protoname,0.4364385447321628,4
Mutual_Information_19,13,mqtt.conack.flags,0.43384585250184493,4
Mutual_Information_19,14,mqtt.topic,0.4304570548577984,4
Mutual_Information_19,15,icmp.checksum,0.30835388112279594,4
Mutual_Information_19,16,udp.stream,0.30585985484280176,4
Mutual_Information_19,17,tcp.flags.ack,0.30155352166310045,4
Mutual_Information_19,18,icmp.seq_le,0.29658384531142,4
Mutual_Information_19,19,http.content_length,0.18102235159755642,4
Mutual_Information_19,20,tcp.connection.syn,0.10673717766150714,4
Mutual_Information_19,21,tcp.connection.rst,0.09202864859677629,4
Mutual_Information_19,22,http.response,0.07320706643558994,4
Mutual_Information_19,23,mqtt.hdrflags,0.0625464060701999,4
Mutual_Information_19,24,mqtt.msgtype,0.06205547554215807,4
Mutual_Information_19,25,mqtt.len,0.053329791808025995,4
Mutual_Information_19,26,tcp.connection.fin,0.04467059563676434,4
Mutual_Information_19,27,dns.qry.name,0.027167463954874904,4
Mutual_Information_19,28,arp.opcode,0.018795740415332052,4
Mutual_Information_19,29,tcp.connection.synack,0.017730536303763422,4
Mutual_Information_19,30,arp.hw.size,0.016463032948963452,4
Mutual_Information_19,31,mqtt.conflag.cleansess,0.015229408323532034,4
Mutual_Information_19,32,mqtt.proto_len,0.015037247095849526,4
Mutual_Information_19,33,mqtt.topic_len,0.01471999233385457,4
Mutual_Information_19,34,mqtt.ver,0.014635769760889872,4
Mutual_Information_19,35,udp.port,0.014515349292684832,4
Mutual_Information_19,36,udp.time_delta,0.01402237927877481,4
Mutual_Information_19,37,dns.qry.qu,0.011816213125533714,4
Mutual_Information_19,38,mqtt.conflags,0.011034304416760676,4
