outer_fold,selector,rank,feature,importance
4,Random_Forest_Importance_Matched,15,dns_AA,0.008175590943484991
4,Random_Forest_Importance_Matched,16,dns_RD,0.007890721887603777
4,Random_Forest_Importance_Matched,17,dns_qtype,0.0054547216816144516
4,Random_Forest_Importance_Matched,18,dns_rcode,0.004972287513439745
4,Random_Forest_Importance_Matched,19,dns_qclass,0.0035113985975845727
4,Random_Forest_Importance_Matched,20,missed_bytes,0.0017453335775886975
4,Random_Forest_Importance_Matched,21,ssl_version,0.00032437987167223447
4,Random_Forest_Importance_Matched,22,ssl_cipher,0.00031704581546944545
4,Random_Forest_Importance_Matched,23,ssl_resumed,0.00028912012764884725
4,Random_Forest_Importance_Matched,24,ssl_established,0.00027798196100239795
4,Random_Forest_Importance_Matched,25,weird_name,0.00012295664824343915
4,Random_Forest_Importance_Matched,26,weird_notice,0.00011759364469548196
4,Random_Forest_Importance_Matched,27,http_status_code,0.00011590261862068634
4,Random_Forest_Importance_Matched,28,http_version,0.00011233232707573522
4,Random_Forest_Importance_Matched,29,http_method,0.00011139815553654158
4,Random_Forest_Importance_Matched,30,http_trans_depth,0.00011110655912294653
4,Random_Forest_Importance_Matched,31,http_response_body_len,9.361822379410716e-05
4,Random_Forest_Importance_Matched,32,http_resp_mime_types,6.613549149792739e-05
4,Random_Forest_Importance_Matched,33,http_orig_mime_types,3.382502916735057e-06
4,Random_Forest_Importance_Matched,34,http_request_body_len,2.090657873304814e-06
5,Mutual_Information_Matched,1,src_ip_bytes,1.7928706734449698
5,Mutual_Information_Matched,2,dst_port,1.3217361164486192
5,Mutual_Information_Matched,3,dst_ip_bytes,1.2469666449382295
5,Mutual_Information_Matched,4,src_port,1.0653464445157348
5,Mutual_Information_Matched,5,conn_state,1.056016399916186
5,Mutual_Information_Matched,6,duration,0.9746189997494228
5,Mutual_Information_Matched,7,src_bytes,0.8043475560831852
5,Mutual_Information_Matched,8,dst_bytes,0.7467077425724882
5,Mutual_Information_Matched,9,src_pkts,0.6733409011287002
5,Mutual_Information_Matched,10,dst_pkts,0.6686035028758663
5,Mutual_Information_Matched,11,service,0.5089062074423851
5,Mutual_Information_Matched,12,proto,0.24761175211306474
5,Mutual_Information_Matched,13,dns_rejected,0.23750563209136155
5,Mutual_Information_Matched,14,dns_RA,0.20972069158699558
