outer_fold,inner_fold,method,feature,importance,rank,minority_classes
1,3,Minority_Diagnostic,http_resp_mime_types,0.0,22,mitm
1,3,Minority_Diagnostic,http_response_body_len,0.0,22,mitm
1,3,Minority_Diagnostic,http_status_code,0.0,22,mitm
1,3,Minority_Diagnostic,http_trans_depth,0.0,22,mitm
1,3,Minority_Diagnostic,http_version,0.0,22,mitm
1,3,Minority_Diagnostic,missed_bytes,0.04185730963945389,16,mitm
1,3,Minority_Diagnostic,proto,0.22480660676956177,10,mitm
1,3,Minority_Diagnostic,service,1.0191816091537476,2,mitm
1,3,Minority_Diagnostic,src_bytes,0.36292847990989685,9,mitm
1,3,Minority_Diagnostic,src_ip_bytes,0.18926848471164703,12,mitm
1,3,Minority_Diagnostic,src_pkts,0.4648396372795105,6,mitm
1,3,Minority_Diagnostic,src_port,0.3844279944896698,8,mitm
1,3,Minority_Diagnostic,ssl_cipher,0.10519185662269592,14,mitm
1,3,Minority_Diagnostic,ssl_established,0.0,22,mitm
1,3,Minority_Diagnostic,ssl_resumed,0.0,22,mitm
1,3,Minority_Diagnostic,ssl_version,0.0,22,mitm
1,3,Minority_Diagnostic,weird_name,0.0,22,mitm
1,3,Minority_Diagnostic,weird_notice,0.0,22,mitm
1,4,Natural_Global,conn_state,0.8801246285438538,2,mitm
1,4,Natural_Global,dns_AA,0.028742551803588867,17,mitm
1,4,Natural_Global,dns_RA,0.09935957938432693,13,mitm
1,4,Natural_Global,dns_RD,0.04645778611302376,15,mitm
1,4,Natural_Global,dns_qclass,0.01326349750161171,19,mitm
1,4,Natural_Global,dns_qtype,0.029402216896414757,16,mitm
1,4,Natural_Global,dns_rcode,0.02853250689804554,18,mitm
1,4,Natural_Global,dns_rejected,0.0889320969581604,14,mitm
1,4,Natural_Global,dst_bytes,0.2047768533229828,11,mitm
1,4,Natural_Global,dst_ip_bytes,0.37162715196609497,7,mitm
1,4,Natural_Global,dst_pkts,0.15805377066135406,12,mitm
1,4,Natural_Global,dst_port,0.9952914118766785,1,mitm
1,4,Natural_Global,duration,0.6569505333900452,5,mitm
1,4,Natural_Global,http_method,0.0008191755623556674,26,mitm
1,4,Natural_Global,http_orig_mime_types,8.04481896921061e-06,33,mitm
1,4,Natural_Global,http_request_body_len,1.807440980883257e-06,34,mitm
1,4,Natural_Global,http_resp_mime_types,9.966296784114093e-05,31,mitm
1,4,Natural_Global,http_response_body_len,0.0010978345526382327,25,mitm
1,4,Natural_Global,http_status_code,0.00356693915091455,22,mitm
1,4,Natural_Global,http_trans_depth,0.0005297951283864677,27,mitm
1,4,Natural_Global,http_version,0.00023564881121274084,29,mitm
1,4,Natural_Global,missed_bytes,0.007614388130605221,20,mitm
1,4,Natural_Global,proto,0.2737138569355011,8,mitm
1,4,Natural_Global,service,0.224437415599823,10,mitm
1,4,Natural_Global,src_bytes,0.43226632475852966,6,mitm
1,4,Natural_Global,src_ip_bytes,0.7346414923667908,3,mitm
1,4,Natural_Global,src_pkts,0.24925948679447174,9,mitm
1,4,Natural_Global,src_port,0.6740541458129883,4,mitm
1,4,Natural_Global,ssl_cipher,0.0011601709993556142,24,mitm
1,4,Natural_Global,ssl_established,7.413978164549917e-05,32,mitm
1,4,Natural_Global,ssl_resumed,0.00021462263248395175,30,mitm
1,4,Natural_Global,ssl_version,0.004981761798262596,21,mitm
1,4,Natural_Global,weird_name,0.0012931560631841421,23,mitm
1,4,Natural_Global,weird_notice,0.0002650128735695034,28,mitm
1,4,Class_Balanced,conn_state,1.4538441896438599,1,mitm
1,4,Class_Balanced,dns_AA,0.0224239993840456,18,mitm
1,4,Class_Balanced,dns_RA,0.21767626702785492,13,mitm
1,4,Class_Balanced,dns_RD,0.04506899043917656,16,mitm
1,4,Class_Balanced,dns_qclass,0.012984266504645348,19,mitm
1,4,Class_Balanced,dns_qtype,0.03798411041498184,17,mitm
1,4,Class_Balanced,dns_rcode,0.055747054517269135,15,mitm
1,4,Class_Balanced,dns_rejected,0.11082104593515396,14,mitm
1,4,Class_Balanced,dst_bytes,0.36195167899131775,8,mitm
1,4,Class_Balanced,dst_ip_bytes,0.3950287401676178,7,mitm
1,4,Class_Balanced,dst_pkts,0.23063616454601288,12,mitm
1,4,Class_Balanced,dst_port,0.9650522470474243,4,mitm
1,4,Class_Balanced,duration,0.7883594632148743,5,mitm
1,4,Class_Balanced,http_method,0.0013272881042212248,26,mitm
1,4,Class_Balanced,http_orig_mime_types,6.918601684446912e-06,33,mitm
1,4,Class_Balanced,http_request_body_len,6.864926945127081e-06,34,mitm
1,4,Class_Balanced,http_resp_mime_types,0.00032656214898452163,30,mitm
1,4,Class_Balanced,http_response_body_len,0.002443104749545455,24,mitm
1,4,Class_Balanced,http_status_code,0.006890458520501852,21,mitm
1,4,Class_Balanced,http_trans_depth,0.0013283977750688791,25,mitm
1,4,Class_Balanced,http_version,0.0005946003366261721,28,mitm
1,4,Class_Balanced,missed_bytes,0.00919759925454855,20,mitm
1,4,Class_Balanced,proto,0.3021402955055237,9,mitm
1,4,Class_Balanced,service,0.2563188374042511,11,mitm
1,4,Class_Balanced,src_bytes,0.5638148188591003,6,mitm
1,4,Class_Balanced,src_ip_bytes,1.176716685295105,2,mitm
1,4,Class_Balanced,src_pkts,0.2624150514602661,10,mitm
1,4,Class_Balanced,src_port,0.9753158688545227,3,mitm
1,4,Class_Balanced,ssl_cipher,0.0008201253367587924,27,mitm
1,4,Class_Balanced,ssl_established,2.9688659196835943e-05,32,mitm
1,4,Class_Balanced,ssl_resumed,7.504904351662844e-05,31,mitm
1,4,Class_Balanced,ssl_version,0.0036515905521810055,22,mitm
1,4,Class_Balanced,weird_name,0.0024990004021674395,23,mitm
1,4,Class_Balanced,weird_notice,0.0004958579083904624,29,mitm
1,4,Minority_Diagnostic,conn_state,0.36632484197616577,9,mitm
1,4,Minority_Diagnostic,dns_AA,0.010848230682313442,18,mitm
1,4,Minority_Diagnostic,dns_RA,1.373620867729187,1,mitm
1,4,Minority_Diagnostic,dns_RD,0.03809526190161705,15,mitm
1,4,Minority_Diagnostic,dns_qclass,0.00717345392331481,20,mitm
1,4,Minority_Diagnostic,dns_qtype,0.015374102629721165,17,mitm
1,4,Minority_Diagnostic,dns_rcode,0.0013182921102270484,22,mitm
1,4,Minority_Diagnostic,dns_rejected,0.030963024124503136,16,mitm
1,4,Minority_Diagnostic,dst_bytes,0.32384684681892395,10,mitm
1,4,Minority_Diagnostic,dst_ip_bytes,1.2598100900650024,2,mitm
1,4,Minority_Diagnostic,dst_pkts,0.23319579660892487,12,mitm
1,4,Minority_Diagnostic,dst_port,0.37005916237831116,8,mitm
1,4,Minority_Diagnostic,duration,0.5671576857566833,4,mitm
1,4,Minority_Diagnostic,http_method,0.0,23,mitm
1,4,Minority_Diagnostic,http_orig_mime_types,0.0,23,mitm
1,4,Minority_Diagnostic,http_request_body_len,0.0,23,mitm
1,4,Minority_Diagnostic,http_resp_mime_types,0.0,23,mitm
1,4,Minority_Diagnostic,http_response_body_len,0.0,23,mitm
1,4,Minority_Diagnostic,http_status_code,0.0,23,mitm
1,4,Minority_Diagnostic,http_trans_depth,0.0,23,mitm
1,4,Minority_Diagnostic,http_version,0.0,23,mitm
