outer_fold,selector,feature_count,record_type,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,training_seconds,inference_seconds,milliseconds_per_record,minority_classes,class_name,class_precision,class_recall,class_f1,class_support
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,scanning,0.9877103927331018,0.9930163846360462,0.990356281810876,3723.0
2,Mutual_Information_Matched,16,per_class,,,,,,,,,mitm,xss,0.9649595687331537,0.9862258953168044,0.9754768392370572,2904.0
2,Random_Forest_Importance_Matched,16,aggregate,0.9888592285901068,0.9644579055888212,0.9889970901173759,0.9712890578321636,0.9872456799306253,30.568736315000024,1.1544282820000262,0.03144552958160891,mitm,,,,,
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,backdoor,1.0,0.9997327632282202,0.9998663637578511,3742.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,ddos,0.9901738473167044,0.9832374280710533,0.9866934471503892,3997.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,dos,0.9862306368330465,0.976482617586912,0.9813324199349204,2934.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,injection,0.9853015712113533,0.9737039819684448,0.979468446907671,3993.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,mitm,0.6814516129032258,0.8125,0.7412280701754386,208.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,normal,0.9969010727056019,0.9970199070210991,0.9969604863221885,8389.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,password,0.9961957900076084,0.9896699420508944,0.9929221435793731,3969.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,ransomware,0.9992994746059545,1.0,0.9996496145760336,2853.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,scanning,0.9879775581084691,0.9932849852269675,0.990624162871685,3723.0
2,Random_Forest_Importance_Matched,16,per_class,,,,,,,,,mitm,xss,0.9646702557200538,0.9872589531680441,0.9758339006126616,2904.0
3,Full_Controlled,34,aggregate,0.9892678143386359,0.9701764732866985,0.9893114153215788,0.97306951251855,0.9877111427537202,54.91908562799972,1.3949738440001056,0.037997762148619135,mitm,,,,,
3,Full_Controlled,34,per_class,,,,,,,,,mitm,backdoor,0.9997328346246327,1.0,0.9998663994655979,3742.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,ddos,0.9879093198992444,0.9812359269452089,0.9845613154261328,3997.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,dos,0.9866300994172095,0.9809134287661895,0.9837634592377371,2934.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,injection,0.9845569620253165,0.973954420235412,0.979226992320282,3993.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,mitm,0.7713004484304933,0.8269230769230769,0.7981438515081206,208.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,normal,0.9966646813579512,0.9973775181785671,0.9970209723546235,8389.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,password,0.9952032315071951,0.9931972789115646,0.9941992433795712,3969.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,ransomware,1.0,1.0,1.0,2853.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,scanning,0.9898041320096592,0.9908675799086758,0.9903355704697987,3723.0
3,Full_Controlled,34,per_class,,,,,,,,,mitm,xss,0.9633366969391187,0.9862258953168044,0.9746469287051217,2904.0
3,Natural_Global_Stable,15,aggregate,0.9891316190891262,0.9687696377340324,0.9891866641471064,0.9721263590845675,0.9875550051935192,28.906642831000227,1.0840156519998345,0.02952755643930689,mitm,,,,,
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,backdoor,0.9997328346246327,1.0,0.9998663994655979,3742.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,ddos,0.9881582262534644,0.9812359269452089,0.9846849108712026,3997.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,dos,0.9869639794168096,0.9805725971370143,0.9837579073345871,2934.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,injection,0.9848331648129424,0.9757074881041823,0.9802490879355894,3993.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,mitm,0.7522123893805309,0.8173076923076923,0.783410138248848,208.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,normal,0.9959490051233171,0.9964238884253188,0.9961863901799547,8389.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,password,0.9949520444220091,0.9931972789115646,0.9940738872777708,3969.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,ransomware,0.9996494917630564,0.9996494917630564,0.9996494917630564,2853.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,scanning,0.9900671140939598,0.9905989793177545,0.9903329752953813,3723.0
3,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,xss,0.9646464646464646,0.9865702479338843,0.975485188968335,2904.0
3,Stable_Balanced_Core,15,aggregate,0.9887502723904991,0.9684424544991946,0.9888034586824263,0.9717089046736811,0.9871185695984872,28.706730672999583,1.078006293999806,0.029363867236865494,mitm,,,,,
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,backdoor,0.9997328346246327,1.0,0.9998663994655979,3742.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,ddos,0.988377968671046,0.9787340505379034,0.9835323695788812,3997.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,dos,0.9859396433470508,0.979890933878664,0.9829059829059829,2934.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,injection,0.9850557244174265,0.973954420235412,0.9794736179322503,3993.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,mitm,0.7522123893805309,0.8173076923076923,0.783410138248848,208.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,normal,0.9942931874925692,0.996900703301943,0.9955952380952381,8389.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,password,0.9957049014653866,0.9929453262786596,0.9943231991926328,3969.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,ransomware,1.0,0.9996494917630564,0.9998247151621384,2853.0
3,Stable_Balanced_Core,15,per_class,,,,,,,,,mitm,scanning,0.9908700322234156,0.9911361804995971,0.9910030884920102,3723.0
