fold,method,feature,importance,rank
2,Minority_Diagnostic,http.content_length,0.0,27
2,Minority_Diagnostic,http.referer,0.0027372288,23
2,Minority_Diagnostic,http.request.method,0.1830097,10
2,Minority_Diagnostic,http.request.version,0.33679932,8
2,Minority_Diagnostic,http.response,0.0,27
2,Minority_Diagnostic,icmp.checksum,0.6044438,3
2,Minority_Diagnostic,icmp.seq_le,0.52574146,6
2,Minority_Diagnostic,icmp.transmit_timestamp,0.048219692,11
2,Minority_Diagnostic,mqtt.conack.flags,0.0057366937,21
2,Minority_Diagnostic,mqtt.conflag.cleansess,0.0,27
2,Minority_Diagnostic,mqtt.conflags,0.0,27
2,Minority_Diagnostic,mqtt.hdrflags,0.0,27
2,Minority_Diagnostic,mqtt.len,0.0,27
2,Minority_Diagnostic,mqtt.msgtype,0.0,27
2,Minority_Diagnostic,mqtt.proto_len,0.0,27
2,Minority_Diagnostic,mqtt.protoname,2.677528e-05,26
2,Minority_Diagnostic,mqtt.topic,0.0,27
2,Minority_Diagnostic,mqtt.topic_len,0.0,27
2,Minority_Diagnostic,mqtt.ver,0.0,27
2,Minority_Diagnostic,tcp.ack,0.023903953,16
2,Minority_Diagnostic,tcp.ack_raw,0.032472283,13
2,Minority_Diagnostic,tcp.checksum,0.032362998,14
2,Minority_Diagnostic,tcp.connection.fin,0.0,27
2,Minority_Diagnostic,tcp.connection.rst,0.016736634,19
2,Minority_Diagnostic,tcp.connection.syn,0.031021902,15
2,Minority_Diagnostic,tcp.connection.synack,0.0,27
2,Minority_Diagnostic,tcp.dstport,0.58685964,4
2,Minority_Diagnostic,tcp.flags,0.2576896,9
2,Minority_Diagnostic,tcp.flags.ack,0.001325039,24
2,Minority_Diagnostic,tcp.len,3.6093395,1
2,Minority_Diagnostic,tcp.seq,0.010020552,20
2,Minority_Diagnostic,tcp.srcport,1.3652868,2
2,Minority_Diagnostic,udp.port,0.54069144,5
2,Minority_Diagnostic,udp.stream,0.018368606,18
2,Minority_Diagnostic,udp.time_delta,0.5103456,7
3,Natural_Global,arp.hw.size,0.0073347627,25
3,Natural_Global,arp.opcode,0.03740536,19
3,Natural_Global,dns.qry.name,0.023477696,20
3,Natural_Global,dns.qry.name.len,0.00012149253,33
3,Natural_Global,dns.qry.qu,0.0,34
3,Natural_Global,dns.retransmission,0.0,34
3,Natural_Global,dns.retransmit_request,0.0,34
3,Natural_Global,http.content_length,0.011630333,23
3,Natural_Global,http.referer,1.1625134,1
3,Natural_Global,http.request.method,0.7650994,3
3,Natural_Global,http.request.version,0.5848445,4
3,Natural_Global,http.response,0.0010142957,28
3,Natural_Global,icmp.checksum,0.41832685,7
3,Natural_Global,icmp.seq_le,0.19479342,10
3,Natural_Global,icmp.transmit_timestamp,0.0007771827,29
3,Natural_Global,mqtt.conack.flags,0.39033818,8
3,Natural_Global,mqtt.conflag.cleansess,0.00034316131,31
3,Natural_Global,mqtt.conflags,0.00021458167,32
3,Natural_Global,mqtt.hdrflags,0.0,34
3,Natural_Global,mqtt.len,0.0,34
3,Natural_Global,mqtt.msgtype,0.0,34
3,Natural_Global,mqtt.proto_len,0.0,34
3,Natural_Global,mqtt.protoname,0.110740855,15
3,Natural_Global,mqtt.topic,0.012618327,22
3,Natural_Global,mqtt.topic_len,0.0,34
3,Natural_Global,mqtt.ver,0.0,34
3,Natural_Global,tcp.ack,0.48976582,6
3,Natural_Global,tcp.ack_raw,0.1450539,13
3,Natural_Global,tcp.checksum,0.09652698,16
3,Natural_Global,tcp.connection.fin,0.013805218,21
3,Natural_Global,tcp.connection.rst,0.052139904,17
3,Natural_Global,tcp.connection.syn,0.048138343,18
3,Natural_Global,tcp.connection.synack,0.007850981,24
3,Natural_Global,tcp.dstport,0.5700721,5
3,Natural_Global,tcp.flags,0.19461283,11
3,Natural_Global,tcp.flags.ack,0.0039541963,26
3,Natural_Global,tcp.len,0.14006458,14
3,Natural_Global,tcp.seq,0.14904337,12
3,Natural_Global,tcp.srcport,0.90609634,2
3,Natural_Global,udp.port,0.00040539174,30
3,Natural_Global,udp.stream,0.30344135,9
3,Natural_Global,udp.time_delta,0.0015293596,27
3,Class_Balanced,arp.hw.size,0.004203061,29
3,Class_Balanced,arp.opcode,0.030895656,22
3,Class_Balanced,dns.qry.name,0.052899785,19
3,Class_Balanced,dns.qry.name.len,0.0024460254,30
3,Class_Balanced,dns.qry.qu,0.0,34
3,Class_Balanced,dns.retransmission,0.0,34
3,Class_Balanced,dns.retransmit_request,0.0,34
