method,feature,importance,rank,outer_fold,inner_fold
Minority_Diagnostic,http.request.version,0.35570866,8,1,2
Minority_Diagnostic,http.response,0.0,24,1,2
Minority_Diagnostic,icmp.checksum,0.5128888,5,1,2
Minority_Diagnostic,icmp.seq_le,0.43260887,6,1,2
Minority_Diagnostic,icmp.transmit_timestamp,0.054711014,11,1,2
Minority_Diagnostic,mqtt.conack.flags,0.004889097,21,1,2
Minority_Diagnostic,mqtt.conflag.cleansess,0.0,24,1,2
Minority_Diagnostic,mqtt.conflags,0.0,24,1,2
Minority_Diagnostic,mqtt.hdrflags,0.0,24,1,2
Minority_Diagnostic,mqtt.len,0.0,24,1,2
Minority_Diagnostic,mqtt.msgtype,0.0,24,1,2
Minority_Diagnostic,mqtt.proto_len,0.0,24,1,2
Minority_Diagnostic,mqtt.protoname,0.0,24,1,2
Minority_Diagnostic,mqtt.topic,0.0,24,1,2
Minority_Diagnostic,mqtt.topic_len,0.0,24,1,2
Minority_Diagnostic,mqtt.ver,0.0,24,1,2
Minority_Diagnostic,tcp.ack,0.04979494,12,1,2
Minority_Diagnostic,tcp.ack_raw,0.032785457,15,1,2
Minority_Diagnostic,tcp.checksum,0.02885179,16,1,2
Minority_Diagnostic,tcp.connection.fin,0.0,24,1,2
Minority_Diagnostic,tcp.connection.rst,0.025146686,18,1,2
Minority_Diagnostic,tcp.connection.syn,0.036477216,13,1,2
Minority_Diagnostic,tcp.connection.synack,0.0,24,1,2
Minority_Diagnostic,tcp.dstport,0.7038959,4,1,2
Minority_Diagnostic,tcp.flags,0.24874634,9,1,2
Minority_Diagnostic,tcp.flags.ack,0.0,24,1,2
Minority_Diagnostic,tcp.len,2.9433835,1,1,2
Minority_Diagnostic,tcp.seq,0.017511744,19,1,2
Minority_Diagnostic,tcp.srcport,1.3234819,2,1,2
Minority_Diagnostic,udp.port,0.3778179,7,1,2
Minority_Diagnostic,udp.stream,0.027242763,17,1,2
Minority_Diagnostic,udp.time_delta,1.0257189,3,1,2
Natural_Global,arp.hw.size,0.007198659,24,1,3
Natural_Global,arp.opcode,0.037223976,19,1,3
Natural_Global,dns.qry.name,0.035665024,20,1,3
Natural_Global,dns.qry.name.len,0.0,31,1,3
Natural_Global,dns.qry.qu,0.0,31,1,3
